Model,0,20,30,40,50,80,90,asym,human
20% ResNet34,70.23(0.75),52.29(1.03),45.68(0.16),42.71(2.13),32.4(1.86),11.25(1.06),2.77(1.13),38.62(1.63),47.68(1.01)
ResNet34,69.71(0.62),48.22(1.5),44.54(2.33),39.17(4.63),32.81(3.08),10.3(0.66),2.9(1.46),38.07(2.09),45.68(1.67)
