Model,0,20,30,40,50,80,90,asym,human
20% ResNet18,92.31(0.42),83.03(1.45),81.55(0.56),79.16(0.48),73.35(1.22),50.12(2.8),32.36(0.76),77.7(2.67),82.34(0.28)
ResNet18,92.28(0.83),82.44(0.37),80.38(1.99),77.18(1.35),72.89(3.09),45.64(2.3),30.76(1.08),80.65(0.15),82.82(0.31)
