,Peer Loss,Peer Loss w/ Sparsity
0,52.45,56.63
20,41.42,45.18
30,37.4,39.59
40,23.97,31.39
50,32.23,28.38
80,8.2,9.3
90,3.49,1.61
asym,33.9,30.6
human,41.82,41.34
