Model,20,30,40,50,80,90,asym,human
SET ResNet18,83.16(0.03),81.17(1.1),78.31(1.5),73.45(2.04),49.93(1.99),33.56(1.51),79.02(1.49),82.03(1.41)
RigL ResNet18,82.62(0.86),80.95(0.05),77.62(1.26),74.94(0.59),51.21(1.82),31.75(2.67),78.24(0.88),82.42(0.88)
