,SET ResNet18,RigL ResNet18
20,83.16(0.03),82.62(0.86)
30,81.17(1.1),80.95(0.05)
40,78.31(1.5),77.62(1.26)
50,73.45(2.04),74.94(0.59)
80,49.93(1.99),51.21(1.82)
90,33.56(1.51),31.75(2.67)
asym,79.02(1.49),78.24(0.88)
human,82.03(1.41),82.42(0.88)
