Model,20,30,40,50,80,90,asym,human
SET ResNet34,48.82(1.13),49.07(0.42),42.7(0.89),36.0(1.28),9.17(1.24),3.12(1.0),37.63(1.36),47.76(1.01)
RigL ResNet34,50.04(0.6),46.93(1.24),43.07(0.89),35.4(1.12),9.5(0.42),4.13(0.86),37.79(1.28),46.12(0.93)
