,Sparsity,Cifar10,Cifar100
0,10,82.09,49.7
1,20,83.6,48.45
2,30,82.25,47.65
3,40,83.7,48.89
4,50,83.4,48.55
5,60,83.41,51.32
6,70,82.44,48.49
7,80,82.15,49.94
8,90,82.69,50.38
